cliente,monto_por_categoria
70545,PESR_mucho
70556,CAMP_mucho
70556,CUCH_poco
70556,INDP_mucho
70556,OPTI_mucho
70556,PESC_mucho
70556,PESP_mucho
70556,PESR_mucho
70556,TIRO_medio
70561,PESP_poco
70579,CAMP_mucho
70579,CUCH_poco
70579,INDP_mucho
70579,INDU_medio
70579,OPTI_mucho
70579,PESC_mucho
70579,PESP_medio
70579,PESR_medio
70579,TIRO_medio
70590,CAMP_mucho
70590,CUCH_poco
70590,INDP_mucho
70590,INDU_medio
70590,OPTI_mucho
70590,PESC_mucho
70590,PESP_medio
70590,PESR_mucho
70590,TIRO_poco
70593,CAMP_medio
70593,CUCH_poco
70593,INDP_medio
70593,OPTI_medio
70593,PESC_mucho
70593,PESP_mucho
70593,PESR_mucho
70593,TIRO_medio
70603,CAMP_mucho
70603,CUCH_poco
70603,INDP_poco
70603,INDU_poco
70603,OPTI_medio
70603,PESC_mucho
70603,PESP_medio
70603,PESR_medio
70604,CAMP_poco
70604,PESC_mucho
70604,PESP_poco
70604,PESR_mucho
70604,TIRO_poco
70616,CAMP_mucho
70616,INDP_medio
70616,PESP_medio
70626,CAMP_medio
70626,INDP_medio
70626,OPTI_medio
70626,PESC_medio
70626,PESP_medio
70626,PESR_medio
70676,CAMP_mucho
70676,INDP_medio
70676,INDU_medio
70676,INST_poco
70676,OPTI_mucho
70676,PESC_mucho
70676,PESP_poco
70676,PESR_mucho
70676,TIRO_poco
70698,CAMP_mucho
70698,PESC_medio
70698,PESP_mucho
70698,PESR_medio
70755,PESC_medio
70780,CAMP_medio
70780,INDP_mucho
70780,INDU_medio
70780,OPTI_poco
70780,PESC_mucho
70780,PESP_mucho
70780,PESR_medio
70819,CAMP_mucho
70819,INDP_mucho
70819,INST_poco
70819,PESC_medio
70819,PESP_mucho
70819,PESR_medio
70819,TIRO_poco
70821,CAMP_mucho
70821,INDU_poco
70821,PESP_medio
70821,PESR_poco
70830,CAMP_mucho
70830,CUCH_poco
70830,INDU_medio
70830,PESP_medio
70830,TIRO_poco
70833,CAMP_mucho
70833,CUCH_poco
70833,INDU_medio
70833,OPTI_mucho
70833,PESC_mucho
70833,PESP_mucho
70833,PESR_poco
70838,CAMP_medio
70838,PESC_mucho
70838,PESP_mucho
70838,PESR_mucho
70838,TIRO_poco
70839,CAMP_mucho
70839,INDP_medio
70839,INDU_medio
70839,OPTI_poco
70839,PESC_mucho
70839,PESP_mucho
70839,PESR_mucho
70839,TIRO_poco
70861,OPTI_medio
70863,CAMP_poco
70863,INDU_medio
70870,CAMP_poco
70899,CAMP_mucho
70899,CUCH_poco
70899,INDU_medio
70899,OPTI_poco
70899,PESC_mucho
70899,PESP_mucho
70899,PESR_mucho
70901,INDP_poco
70901,PESC_medio
70901,PESP_poco
70901,PESR_medio
70908,CAMP_mucho
70908,CUCH_medio
70908,INDP_poco
70908,INDU_poco
70908,INST_poco
70908,OPTI_poco
70908,PESP_medio
70908,TIRO_poco
70920,CAMP_medio
70920,PESC_mucho
70920,PESP_poco
70920,PESR_medio
70929,OPTI_medio
70941,CAMP_mucho
70941,INDP_mucho
70941,INDU_medio
70941,PESC_mucho
70941,PESP_mucho
70941,PESR_medio
70941,TIRO_medio
70965,CAMP_mucho
70965,CUCH_mucho
70965,INDP_mucho
70965,INDU_mucho
70965,OPTI_mucho
70965,PESC_mucho
70965,PESP_mucho
70965,PESR_mucho
70965,TIRO_medio
70968,CAMP_poco
70968,INDP_poco
70968,PESC_medio
70968,PESP_poco
70968,PESR_medio
70996,CAMP_medio
70996,PESP_mucho
71006,CAMP_mucho
71006,CUCH_poco
71006,INDP_mucho
71006,INDU_mucho
71006,OPTI_mucho
71006,PESC_mucho
71006,PESP_mucho
71006,PESR_mucho
71006,TIRO_medio
71007,OPTI_mucho
71018,CAMP_medio
71018,INDP_mucho
71018,OPTI_poco
71018,PESC_mucho
71018,PESP_mucho
71018,PESR_mucho
71020,CAMP_mucho
71020,INDP_medio
71020,INDU_mucho
71020,PESR_medio
71023,CAMP_mucho
71023,PESC_medio
71023,PESP_poco
71025,CAMP_mucho
71025,CUCH_poco
71025,INDP_medio
71025,INDU_medio
71025,OPTI_poco
71033,CAMP_mucho
71033,INDP_medio
71033,PESC_mucho
71033,PESP_poco
71033,PESR_mucho
71044,CAMP_mucho
71049,CAMP_mucho
71049,CUCH_poco
71049,INDP_medio
71049,INDU_poco
71049,OPTI_medio
71049,PESC_medio
71049,PESP_mucho
71049,PESR_mucho
71049,TIRO_poco
71080,CAMP_mucho
71080,INDP_medio
71080,OPTI_poco
71080,PESC_medio
71080,PESP_mucho
71080,PESR_poco
71099,CAMP_mucho
71099,INDU_medio
71099,OPTI_medio
71099,PESC_poco
71099,PESP_medio
71099,PESR_mucho
71106,CAMP_medio
71106,INDP_poco
71106,PESP_mucho
71118,CAMP_mucho
71118,CUCH_poco
71118,INDP_mucho
71118,INDU_mucho
71118,OPTI_medio
71118,PESC_medio
71118,PESP_mucho
71118,PESR_mucho
71118,TIRO_mucho
71134,CAMP_mucho
71134,INDP_medio
71134,OPTI_poco
71134,PESC_poco
71134,PESP_medio
71134,TIRO_poco
71137,CAMP_poco
71137,INDU_poco
71137,PESC_poco
71137,PESP_medio
71137,PESR_poco
71146,CAMP_mucho
71164,CAMP_poco
71164,OPTI_mucho
71167,CAMP_mucho
71167,INDU_poco
71167,OPTI_mucho
71167,PESC_mucho
71167,PESP_mucho
71167,PESR_mucho
71167,TIRO_medio
71179,CAMP_poco
71179,OPTI_medio
71186,INDP_medio
71186,PESC_mucho
71186,PESP_poco
71186,PESR_mucho
71193,CAMP_poco
71193,INDU_poco
71193,PESP_poco
71194,CAMP_poco
71194,PESC_medio
71194,PESP_mucho
71199,OPTI_medio
71199,PESC_medio
71199,PESP_medio
71199,PESR_poco
71201,OPTI_mucho
71206,CAMP_mucho
71206,CUCH_medio
71206,INDP_poco
71206,INDU_mucho
71206,PESC_mucho
71206,PESP_mucho
71206,PESR_medio
71206,TIRO_poco
71210,PESC_medio
71210,PESP_medio
71213,CAMP_mucho
71214,CAMP_medio
71214,PESP_poco
71222,CAMP_mucho
71222,OPTI_mucho
71226,INDP_mucho
71226,PESP_poco
71235,CAMP_poco
71235,OPTI_poco
71236,OPTI_medio
71238,CAMP_mucho
71238,INDU_poco
71238,OPTI_poco
71238,TIRO_poco
71241,PESC_mucho
71241,PESR_medio
71242,PESP_poco
71242,PESR_poco
71247,CAMP_medio
71247,PESC_poco
71247,PESP_poco
71247,PESR_poco
71257,OPTI_mucho
71258,INDP_poco
71258,OPTI_poco
71258,PESC_mucho
71258,PESP_medio
71258,PESR_medio
71258,TIRO_medio
71261,INDP_medio
71270,CAMP_poco
71270,INDP_mucho
71270,PESP_mucho
71270,PESR_medio
71270,TIRO_poco
71278,OPTI_medio
71279,CAMP_mucho
71279,INDU_medio
71279,PESC_mucho
71279,PESP_medio
71279,PESR_mucho
71282,CAMP_mucho
71282,INDP_medio
71282,INDU_medio
71286,CAMP_medio
71290,CAMP_mucho
71290,INDP_mucho
71290,INDU_medio
71290,OPTI_poco
71290,PESC_mucho
71290,PESP_mucho
71290,PESR_mucho
71290,TIRO_poco
71291,CAMP_mucho
71291,CUCH_poco
71291,OPTI_mucho
71291,TIRO_poco
71292,CAMP_mucho
71296,OPTI_mucho
71297,PESP_medio
71300,PESC_medio
71300,PESP_medio
71300,PESR_medio
71304,PESC_poco
71304,PESR_poco
71316,INDU_poco
71316,PESC_medio
71316,PESP_medio
71316,PESR_poco
71321,CAMP_mucho
71321,CUCH_poco
71321,INDP_mucho
71321,INDU_poco
71321,OPTI_poco
71321,PESC_mucho
71321,PESP_mucho
71321,PESR_medio
71322,CAMP_medio
71322,INDU_poco
71322,PESC_medio
71322,PESP_mucho
71322,PESR_poco
71323,PESP_mucho
71328,PESP_poco
71329,CAMP_medio
71329,PESC_mucho
71329,PESP_mucho
71329,PESR_medio
71331,CAMP_mucho
71331,CUCH_poco
71331,INDP_poco
71331,INDU_mucho
71331,INST_medio
71331,OPTI_medio
71331,TIRO_mucho
71333,OPTI_medio
71351,CAMP_poco
71351,OPTI_poco
71351,TIRO_poco
71355,OPTI_mucho
71355,PESP_medio
71368,CAMP_medio
71368,PESC_mucho
71368,PESP_mucho
71368,PESR_medio
71369,INDP_medio
71369,INDU_poco
71369,PESC_medio
71369,PESP_mucho
71372,CAMP_medio
71372,CUCH_poco
71372,INDP_poco
71372,OPTI_poco
71372,PESP_medio
71372,PESR_medio
71372,TIRO_medio
71373,CAMP_mucho
71374,CAMP_poco
71374,CUCH_poco
71374,INDP_poco
71374,OPTI_medio
71374,PESP_poco
71374,TIRO_poco
71378,CAMP_mucho
71378,INDP_poco
71378,INDU_medio
71378,TIRO_poco
71383,CAMP_medio
71383,PESC_medio
71383,PESP_medio
71383,PESR_medio
71383,TIRO_poco
71389,CAMP_medio
71389,OPTI_poco
71389,PESC_medio
71389,PESP_medio
71389,PESR_medio
71389,TIRO_medio
