cli_id;cat_desc;sit_iva_id;cli_prv;vta;tran;CAMPNG;PESCA.1;OPTICA.1;PESCA.CA.AS;PESCA.REELS.1;INDU;INDU.Y.PESCA;TIRO.Y.DEF;CUCHILL;INSTRU;venta:freq
67654;CAMPING;B;Buenos Aires;VTA_BAJO;TRAN_ALTO;CAMP_poco;PESP_medio;;PESC_medio;PESR_poco;INDU_poco;INDP_poco;;;;BA
67656;INDUMENTARIA PESCA;A;Santa Cruz;VTA_ALTO;TRAN_ALTO;CAMP_medio;PESP_mucho;;;PESR_mucho;;INDP_medio;;;;AA
67671;OPTICA;A;Capital Federal;VTA_MEDIO;TRAN_ALTO;;;OPTI_mucho;;;INDU_poco;INDP_poco;;;;MA
67672;PESCA CAÑAS;A;Misiones;VTA_MEDIO;TRAN_BAJO;;PESP_medio;;PESC_mucho;PESR_medio;;;;;;MB
67684;CAMPING;A;Capital Federal;VTA_ALTO;TRAN_ALTO;CAMP_mucho;;;;;;;;;;AA
67689;PESCA CAÑAS;B;La Pampa;VTA_BAJO;TRAN_BAJO;;PESP_medio;;PESC_poco;PESR_poco;;;;;;BB
67713;CAMPING;A;Córdoba;VTA_MEDIO;TRAN_BAJO;CAMP_mucho;;;;;;;;;;MB
67714;CUCHILLERÍA;A;Capital Federal;VTA_BAJO;TRAN_BAJO;;;;;;;;;CUCH_poco;;BB
67731;CAMPING;B;Buenos Aires;VTA_MEDIO;TRAN_BAJO;CAMP_mucho;PESP_medio;;PESC_medio;PESR_poco;;;;;;MB
67743;CAMPING;A;Buenos Aires;VTA_MEDIO;TRAN_ALTO;CAMP_mucho;PESP_poco;OPTI_medio;PESC_poco;PESR_poco;INDU_medio;;TIRO_poco;CUCH_poco;INST_poco;MA
67755;CAMPING;A;Santa Fe;VTA_BAJO;TRAN_BAJO;CAMP_poco;PESP_poco;;;PESR_poco;;;;;;BB
67758;CAMPING;B;Santa Cruz;VTA_MEDIO;TRAN_ALTO;CAMP_medio;PESP_medio;;;PESR_poco;INDU_poco;INDP_poco;;;;MA
67772;CAMPING;A;Mendoza;VTA_ALTO;TRAN_ALTO;CAMP_mucho;PESP_mucho;OPTI_mucho;PESC_mucho;PESR_mucho;INDU_mucho;INDP_mucho;TIRO_mucho;CUCH_poco;INST_poco;AA
67774;CAMPING;A;Neuquén;VTA_MEDIO;TRAN_BAJO;CAMP_mucho;;;;;;;;;;MB
67783;PESCA CAÑAS;A;Neuquén;VTA_BAJO;TRAN_BAJO;CAMP_poco;PESP_poco;;PESC_poco;PESR_poco;;;;;;BB
67785;CAMPING;A;Neuquén;VTA_MEDIO;TRAN_ALTO;CAMP_medio;PESP_medio;;PESC_medio;PESR_poco;;;;;;MA
67793;OPTICA;A;Chubut;VTA_BAJO;TRAN_ALTO;;PESP_medio;OPTI_poco;PESC_medio;PESR_medio;;;;;;BA
67801;CAMPING;A;Mendoza;VTA_MEDIO;TRAN_BAJO;CAMP_medio;;;;;INDU_medio;;;;;MB
67804;CAMPING;A;Entre Ríos;VTA_BAJO;TRAN_BAJO;CAMP_poco;;OPTI_poco;PESC_medio;;;;;CUCH_poco;;BB
67805;CAMPING;A;Santiago del Estero;VTA_MEDIO;TRAN_BAJO;CAMP_medio;PESP_medio;OPTI_poco;PESC_medio;PESR_medio;INDU_poco;INDP_poco;;CUCH_poco;INST_poco;MB
67842;CAMPING;B;Buenos Aires;VTA_BAJO;TRAN_BAJO;CAMP_poco;PESP_poco;;;PESR_poco;;;;;;BB
67846;CAMPING;A;Río Negro;VTA_MEDIO;TRAN_BAJO;CAMP_medio;PESP_mucho;;PESC_poco;PESR_poco;;;;;;MB
67849;PESCA CAÑAS;A;Chubut;VTA_MEDIO;TRAN_BAJO;;PESP_mucho;;PESC_medio;PESR_poco;;;;;;MB
67864;CAMPING;A;Capital Federal;VTA_BAJO;TRAN_BAJO;CAMP_poco;PESP_poco;OPTI_medio;;;;;;;;BB
67884;INDUMENTARIA;A;Buenos Aires;VTA_ALTO;TRAN_BAJO;;PESP_medio;;PESC_mucho;PESR_mucho;INDU_medio;;;;;AB
67900;PESCA;A;Mendoza;VTA_MEDIO;TRAN_ALTO;CAMP_poco;PESP_mucho;;;;INDU_poco;;TIRO_poco;;;MA
67928;CAMPING;A;Buenos Aires;VTA_ALTO;TRAN_ALTO;CAMP_mucho;;;;;INDU_medio;;;CUCH_poco;;AA
67934;INDUMENTARIA;A;Capital Federal;VTA_ALTO;TRAN_ALTO;;;;;;INDU_mucho;;;;;AA
67944;CAMPING;A;Catamarca;VTA_MEDIO;TRAN_ALTO;CAMP_mucho;PESP_medio;OPTI_poco;PESC_medio;PESR_medio;;;;CUCH_poco;;MA
67945;CAMPING;B;La Rioja;VTA_ALTO;TRAN_ALTO;CAMP_poco;PESP_medio;;PESC_mucho;PESR_mucho;;;TIRO_poco;;;AA
67965;PESCA CAÑAS;A;Capital Federal;VTA_ALTO;TRAN_ALTO;CAMP_mucho;PESP_medio;OPTI_mucho;PESC_mucho;PESR_mucho;INDU_mucho;;TIRO_mucho;;INST_medio;AA
67995;OPTICA;A;Buenos Aires;VTA_BAJO;TRAN_ALTO;;;OPTI_medio;;;;;;;;BA
68001;OPTICA;A;Buenos Aires;VTA_MEDIO;TRAN_BAJO;;;OPTI_mucho;PESC_poco;PESR_poco;;;;;;MB
68010;PESCA CAÑAS;B;Santa Fe;VTA_BAJO;TRAN_BAJO;;PESP_medio;;PESC_poco;;;;;;;BB
68018;OPTICA;A;Córdoba;VTA_BAJO;TRAN_BAJO;;;OPTI_medio;;;;;;;;BB
68054;CAMPING;A;Buenos Aires;VTA_BAJO;TRAN_BAJO;CAMP_poco;;OPTI_medio;;;;;;;;BB
68056;PESCA;A;Salta;VTA_MEDIO;TRAN_BAJO;;PESP_mucho;;;;;;;;;MB
68067;CAMPING;A;Capital Federal;VTA_MEDIO;TRAN_ALTO;CAMP_medio;PESP_medio;;PESC_medio;PESR_medio;INDU_poco;;TIRO_poco;CUCH_poco;;MA
68078;CAMPING;A;Córdoba;VTA_ALTO;TRAN_ALTO;CAMP_mucho;PESP_mucho;OPTI_mucho;PESC_medio;;;INDP_mucho;TIRO_medio;;;AA
68131;CAMPING;B;Río Negro;VTA_BAJO;TRAN_ALTO;CAMP_medio;;;PESC_medio;PESR_medio;;;;;;BA
68179;PESCA;B;Corrientes;VTA_ALTO;TRAN_ALTO;;PESP_mucho;;;;;;TIRO_poco;;;AA
68183;CAMPING;A;Buenos Aires;VTA_BAJO;TRAN_BAJO;CAMP_poco;;OPTI_medio;;;INDU_poco;INDP_poco;;;;BB
68209;PESCA REELS;A;Córdoba;VTA_ALTO;TRAN_ALTO;CAMP_mucho;PESP_mucho;OPTI_mucho;PESC_mucho;PESR_mucho;INDU_mucho;INDP_mucho;TIRO_medio;CUCH_mucho;;AA
68235;PESCA CAÑAS;B;Río Negro;VTA_MEDIO;TRAN_ALTO;;PESP_medio;;PESC_poco;PESR_mucho;;;;;;MA
68252;CAMPING;A;Salta;VTA_BAJO;TRAN_BAJO;CAMP_poco;;OPTI_medio;;;;;;;;BB
68265;OPTICA;B;Buenos Aires;VTA_BAJO;TRAN_BAJO;;PESP_poco;OPTI_poco;PESC_poco;PESR_poco;;;;;;BB
68299;CAMPING;B;Córdoba;VTA_BAJO;TRAN_BAJO;CAMP_poco;;;;;;;;;;BB
68314;PESCA;A;Buenos Aires;VTA_BAJO;TRAN_BAJO;;PESP_medio;;;;;;;;;BB
68347;CAMPING;A;Capital Federal;VTA_MEDIO;TRAN_ALTO;CAMP_poco;;OPTI_mucho;PESC_medio;PESR_poco;;;;;;MA
68353;CAMPING;A;Neuquén;VTA_BAJO;TRAN_BAJO;CAMP_poco;;;;;INDU_poco;;;;;BB
68361;INDUMENTARIA PESCA;A;Neuquén;VTA_MEDIO;TRAN_ALTO;CAMP_medio;PESP_medio;OPTI_mucho;;;INDU_poco;INDP_mucho;;;;MA
68365;CAMPING;A;Capital Federal;VTA_ALTO;TRAN_ALTO;CAMP_mucho;PESP_medio;OPTI_poco;;;INDU_medio;INDP_medio;TIRO_poco;CUCH_mucho;;AA
68374;CAMPING;A;Neuquén;VTA_MEDIO;TRAN_ALTO;CAMP_mucho;;;;;;;;;;MA
68431;CAMPING;A;Capital Federal;VTA_ALTO;TRAN_ALTO;CAMP_mucho;PESP_poco;OPTI_mucho;;;INDU_mucho;INDP_poco;TIRO_poco;CUCH_poco;;AA
68465;CAMPING;B;Mendoza;VTA_BAJO;TRAN_BAJO;CAMP_medio;PESP_poco;;PESC_medio;;INDU_poco;;;;;BB
68491;PESCA CAÑAS;A;La Pampa;VTA_BAJO;TRAN_BAJO;;PESP_medio;;PESC_medio;PESR_poco;;;;;;BB
68494;CAMPING;A;Buenos Aires;VTA_MEDIO;TRAN_BAJO;CAMP_poco;PESP_medio;;PESC_medio;PESR_medio;;;;;;MB
68500;PESCA CAÑAS;A;Buenos Aires;VTA_BAJO;TRAN_BAJO;;;;PESC_medio;;;;;;;BB
68556;CAMPING;A;Capital Federal;VTA_BAJO;TRAN_BAJO;CAMP_poco;;OPTI_medio;;;;;;;;BB
68561;CUCHILLERÍA;E;Tierra del Fuego;VTA_ALTO;TRAN_ALTO;CAMP_mucho;PESP_mucho;OPTI_poco;PESC_mucho;PESR_mucho;;INDP_medio;TIRO_medio;CUCH_medio;;AA
68573;PESCA;A;Buenos Aires;VTA_BAJO;TRAN_BAJO;;PESP_medio;;;;;;;;;BB
68601;CAMPING;A;San Juan;VTA_ALTO;TRAN_ALTO;CAMP_mucho;PESP_mucho;OPTI_medio;PESC_mucho;PESR_mucho;INDU_medio;INDP_medio;;CUCH_poco;;AA
68602;CAMPING;A;Buenos Aires;VTA_MEDIO;TRAN_ALTO;CAMP_medio;PESP_medio;;PESC_mucho;PESR_mucho;;;TIRO_medio;CUCH_poco;;MA
68619;CAMPING;A;Jujuy;VTA_ALTO;TRAN_ALTO;CAMP_mucho;PESP_mucho;OPTI_poco;PESC_medio;;INDU_medio;INDP_poco;TIRO_mucho;CUCH_poco;;AA
68626;CAMPING;A;Capital Federal;VTA_ALTO;TRAN_ALTO;CAMP_mucho;PESP_medio;;PESC_medio;PESR_medio;;INDP_mucho;;CUCH_poco;;AA
68637;OPTICA;A;Capital Federal;VTA_BAJO;TRAN_BAJO;;;OPTI_medio;;;;;;;;BB
68657;CAMPING;A;Capital Federal;VTA_MEDIO;TRAN_ALTO;CAMP_medio;;OPTI_mucho;;;;;;;;MA
68685;OPTICA;B;Buenos Aires;VTA_BAJO;TRAN_BAJO;;;OPTI_medio;;;;;;;;BB
68715;PESCA CAÑAS;A;Buenos Aires;VTA_ALTO;TRAN_ALTO;CAMP_medio;PESP_mucho;OPTI_medio;PESC_mucho;PESR_mucho;INDU_poco;;;;;AA
68727;CAMPING;A;Capital Federal;VTA_ALTO;TRAN_ALTO;CAMP_mucho;PESP_poco;OPTI_mucho;PESC_medio;PESR_medio;INDU_mucho;INDP_medio;TIRO_mucho;;;AA
68742;CAMPING;B;La Pampa;VTA_BAJO;TRAN_BAJO;CAMP_poco;PESP_medio;OPTI_poco;PESC_medio;PESR_poco;;;;CUCH_poco;;BB
68744;OPTICA;A;Buenos Aires;VTA_BAJO;TRAN_ALTO;;;OPTI_medio;;;;;;;;BA
68750;OPTICA;A;Buenos Aires;VTA_BAJO;TRAN_BAJO;;PESP_poco;OPTI_medio;;;;;;;;BB
68769;CAMPING;A;Capital Federal;VTA_ALTO;TRAN_ALTO;CAMP_poco;;OPTI_mucho;;;;;;;;AA
68778;PESCA;A;Neuquén;VTA_BAJO;TRAN_BAJO;;PESP_medio;;;PESR_poco;;;;;;BB
68789;CAMPING;A;Capital Federal;VTA_MEDIO;TRAN_BAJO;CAMP_medio;;OPTI_mucho;;;;;;;;MB
68828;CAMPING;A;Neuquén;VTA_ALTO;TRAN_ALTO;CAMP_medio;PESP_mucho;;PESC_mucho;PESR_medio;INDU_medio;INDP_mucho;;;;AA
68896;CAMPING;A;Buenos Aires;VTA_ALTO;TRAN_ALTO;CAMP_mucho;PESP_poco;OPTI_poco;;;INDU_medio;INDP_medio;TIRO_poco;CUCH_poco;;AA
68907;CAMPING;A;Santa Fe;VTA_ALTO;TRAN_ALTO;CAMP_mucho;;;;;INDU_medio;INDP_medio;;;;AA
68943;PESCA CAÑAS;B;Capital Federal;VTA_BAJO;TRAN_BAJO;;;;PESC_poco;PESR_poco;;;;;;BB
68975;CAMPING;A;Capital Federal;VTA_MEDIO;TRAN_BAJO;CAMP_mucho;;;;;INDU_poco;INDP_poco;;;;MB
69023;CAMPING;A;La Pampa;VTA_MEDIO;TRAN_BAJO;CAMP_medio;PESP_medio;;PESC_medio;PESR_medio;INDU_poco;;;;;MB
69032;CAMPING;A;Río Negro;VTA_MEDIO;TRAN_ALTO;CAMP_mucho;PESP_medio;;;;;INDP_medio;TIRO_poco;;;MA
69080;TIRO Y DEFENSA;A;Santa Fe;VTA_ALTO;TRAN_ALTO;CAMP_mucho;PESP_mucho;OPTI_mucho;;PESR_medio;;;TIRO_mucho;;;AA
69089;OPTICA;B;Capital Federal;VTA_MEDIO;TRAN_ALTO;;;OPTI_mucho;;;;;;;;MA
69097;CAMPING;A;Buenos Aires;VTA_ALTO;TRAN_ALTO;CAMP_mucho;PESP_mucho;;PESC_mucho;PESR_mucho;INDU_mucho;INDP_poco;TIRO_poco;CUCH_poco;;AA
69100;CAMPING;B;Santiago del Estero;VTA_BAJO;TRAN_BAJO;CAMP_medio;PESP_poco;;;;INDU_poco;;TIRO_poco;;;BB
69125;INDUMENTARIA;A;Buenos Aires;VTA_BAJO;TRAN_ALTO;;PESP_poco;;;;INDU_medio;;;;;BA
69135;CAMPING;A;Capital Federal;VTA_ALTO;TRAN_ALTO;CAMP_mucho;PESP_poco;OPTI_mucho;;;;;;CUCH_poco;INST_poco;AA
69142;OPTICA;A;Buenos Aires;VTA_MEDIO;TRAN_ALTO;;;OPTI_mucho;;;;;;;;MA
69145;CAMPING;A;Buenos Aires;VTA_ALTO;TRAN_ALTO;CAMP_poco;;OPTI_mucho;;;;;;CUCH_poco;INST_medio;AA
69147;OPTICA;A;Buenos Aires;VTA_BAJO;TRAN_BAJO;;;OPTI_medio;;;;;;;;BB
69148;OPTICA;A;Buenos Aires;VTA_BAJO;TRAN_ALTO;CAMP_poco;;OPTI_mucho;;;;;;;;BA
69192;CAMPING;A;Misiones;VTA_BAJO;TRAN_ALTO;CAMP_poco;;OPTI_medio;;;;;;CUCH_poco;INST_poco;BA
69200;CAMPING;A;Capital Federal;VTA_BAJO;TRAN_BAJO;CAMP_medio;;;;;;;;;;BB
69220;PESCA CAÑAS;B;Santa Cruz;VTA_MEDIO;TRAN_BAJO;;PESP_mucho;;PESC_mucho;PESR_mucho;;;;;;MB
69252;CAMPING;A;Capital Federal;VTA_BAJO;TRAN_BAJO;CAMP_medio;PESP_poco;;PESC_poco;PESR_poco;INDU_poco;;;CUCH_poco;;BB
69259;CAMPING;A;Buenos Aires;VTA_BAJO;TRAN_BAJO;CAMP_medio;;OPTI_medio;;;;;;;;BB
69273;CAMPING;A;Capital Federal;VTA_MEDIO;TRAN_ALTO;CAMP_mucho;;;;;;;;;;MA
69277;INDUMENTARIA;A;Jujuy;VTA_ALTO;TRAN_ALTO;;PESP_mucho;;PESC_mucho;PESR_mucho;INDU_mucho;;;;;AA
69297;INDUMENTARIA PESCA;A;Buenos Aires;VTA_BAJO;TRAN_BAJO;;PESP_poco;;PESC_medio;PESR_poco;;INDP_poco;;;;BB
69310;CUCHILLERÍA;A;Capital Federal;VTA_MEDIO;TRAN_ALTO;CAMP_medio;PESP_poco;;PESC_medio;PESR_medio;INDU_mucho;;TIRO_medio;CUCH_poco;;MA
69337;PESCA CAÑAS;A;Capital Federal;VTA_ALTO;TRAN_ALTO;CAMP_medio;PESP_mucho;OPTI_medio;PESC_mucho;PESR_medio;INDU_poco;INDP_medio;TIRO_poco;;INST_poco;AA
69347;CAMPING;A;Santa Fe;VTA_ALTO;TRAN_ALTO;CAMP_poco;;OPTI_mucho;;;;;;;INST_poco;AA
69383;OPTICA;A;Córdoba;VTA_MEDIO;TRAN_ALTO;CAMP_poco;PESP_poco;OPTI_mucho;;;;;;CUCH_poco;INST_poco;MA
69392;CAMPING;A;Córdoba;VTA_ALTO;TRAN_ALTO;CAMP_mucho;PESP_mucho;OPTI_medio;PESC_medio;;INDU_poco;;TIRO_medio;;;AA
69476;OPTICA;B;Capital Federal;VTA_MEDIO;TRAN_ALTO;CAMP_medio;;OPTI_mucho;;;;;;;;MA
69527;CAMPING;A;Santa Fe;VTA_ALTO;TRAN_ALTO;CAMP_medio;;;;;;INDP_mucho;;;;AA
69555;CAMPING;A;Jujuy;VTA_ALTO;TRAN_ALTO;CAMP_mucho;PESP_mucho;OPTI_medio;PESC_mucho;PESR_mucho;;INDP_medio;TIRO_medio;CUCH_poco;;AA
69580;CAMPING;A;Buenos Aires;VTA_MEDIO;TRAN_BAJO;CAMP_poco;;OPTI_mucho;;;;;;;;MB
69600;CAMPING;A;Capital Federal;VTA_ALTO;TRAN_ALTO;CAMP_mucho;PESP_mucho;;PESC_mucho;PESR_mucho;INDU_medio;INDP_mucho;TIRO_poco;;;AA
69607;CAMPING;A;Formosa;VTA_MEDIO;TRAN_ALTO;CAMP_mucho;PESP_medio;;;;INDU_medio;;TIRO_poco;;;MA
69618;CAMPING;A;Buenos Aires;VTA_MEDIO;TRAN_ALTO;CAMP_medio;PESP_medio;;PESC_medio;PESR_mucho;;;;;;MA
69664;CAMPING;A;Buenos Aires;VTA_BAJO;TRAN_BAJO;CAMP_mucho;PESP_poco;;;;INDU_poco;;;;;BB
69689;OPTICA;A;Capital Federal;VTA_BAJO;TRAN_BAJO;;;OPTI_poco;;;;;;;;BB
69713;CAMPING;A;Capital Federal;VTA_ALTO;TRAN_ALTO;CAMP_mucho;PESP_medio;OPTI_mucho;PESC_mucho;PESR_medio;INDU_mucho;INDP_medio;TIRO_medio;CUCH_poco;;AA
69721;INDUMENTARIA PESCA;A;Buenos Aires;VTA_MEDIO;TRAN_ALTO;CAMP_poco;PESP_mucho;OPTI_poco;PESC_medio;;INDU_poco;INDP_medio;;;;MA
69732;PESCA;A;Jujuy;VTA_BAJO;TRAN_BAJO;;PESP_mucho;;;;;;;;;BB
69743;PESCA CAÑAS;A;Buenos Aires;VTA_MEDIO;TRAN_ALTO;CAMP_poco;PESP_poco;;PESC_mucho;PESR_mucho;;;;;;MA
69750;CAMPING;A;Buenos Aires;VTA_ALTO;TRAN_ALTO;CAMP_mucho;PESP_medio;;PESC_medio;PESR_poco;INDU_poco;;TIRO_medio;CUCH_poco;;AA
69799;CAMPING;A;Río Negro;VTA_ALTO;TRAN_ALTO;CAMP_mucho;PESP_medio;OPTI_medio;;;INDU_mucho;INDP_mucho;TIRO_mucho;;;AA
