'Prod_ID','DescGen','DescAdic','Marca','Proveedor','Cat_ID','SubCat_ID','CantEnvase'
'SWL3','CUCHARA SET SPINNER W/LEAD','CUCHARA SET SPINNER W/LEAD Número: 3 Tipo: LEAD  Peso: 25 unidades','WATERDOG','000000','PESP','98',1
'SWP6420BK','PALA','PALA    Color: NEGRA','WATERDOG','000011','CAMP','188',1
'SWP6420GN','PALA','PALA    Color: VERDE','WATERDOG','000011','CAMP','188',1
'T10','BRÚJULA','BRÚJULA  Descripción: Con accesorios  Uso: Plástica','WATERDOG','000011','CAMP','62',1
'T101','TERMÓMETRO','TERMÓMETRO Modelo: 28X170 PLÁSTICO Uso: AMBIENTAL  Tipo: ANALÓGICO','MICRONIC','000000','INST','241',1
'T112','TERMÓMETRO','TERMÓMETRO Modelo: 62X397 PLÁSTICO Uso: AMBIENTAL  Tipo: ANALÓGICO','MICRONIC','000000','INST','241',1
'T115','TERMÓMETRO','TERMÓMETRO Modelo: 40X220 MADERA Uso: AMBIENTAL  Tipo: ANALÓGICO','MICRONIC','000000','INST','241',1
'T116','TERMÓMETRO','TERMÓMETRO Modelo: 36X200 MADERA Uso: AMBIENTAL  Tipo: ANALÓGICO','MICRONIC','000000','INST','241',1
'T117','TERMÓMETRO','TERMÓMETRO Modelo: 85X230 PLÁSTICO Uso: AMBIENTAL  Tipo: ANALÓGICO','MICRONIC','000000','INST','241',1
'T201','TERMÓMETRO','TERMÓMETRO Modelo: 50X190 PLÁSTICO Uso: AMBIENTAL  Tipo: ANALÓGICO','MICRONIC','000000','INST','241',1
'T202','TERMÓMETRO','TERMÓMETRO Modelo: 50X160 PLÁSTICO Uso: AMBIENTAL  Tipo: ANALÓGICO','MICRONIC','000000','INST','241',1
'T208','TERMÓMETRO','TERMÓMETRO Modelo: 44X300 MADERA Uso: AMBIENTAL  Tipo: ANALÓGICO','MICRONIC','000000','INST','241',1
'T209','TERMÓMETRO','TERMÓMETRO Modelo: 44X300 MADERA Uso: AMBIENTAL  Tipo: ANALÓGICO','MICRONIC','000000','INST','241',1
'T210BEBE','TERMÓMETRO','TERMÓMETRO Modelo: 59X150 mm Uso: BEBE  Tipo: ANALÓGICO','MICRONIC','000000','INST','241',1
'T305','TERMÓMETRO','TERMÓMETRO Modelo: 37X196 PLÁSTICO Uso: AMBIENTAL  Tipo: ANALÓGICO','MICRONIC','000000','INST','241',1
'T315','TERMÓMETRO','TERMÓMETRO  Uso: AMBIENTAL  Tipo: ANALÓGICO','MICRONIC','000062','INST','241',1
'T319','TERMÓMETRO','TERMÓMETRO Modelo: 34X200 MADERA Uso: AMBIENTAL  Tipo: ANALÓGICO','MICRONIC','000000','INST','241',1
'T3GBLM','CUCHARA BLUE FOX','CUCHARA BLUE FOX Número: 3 Tipo: GBLM  Peso: 8.7 grs.','WATERDOG','000012','PESP','98',6
'T4GBLM','CUCHARA BLUE FOX','CUCHARA BLUE FOX Número: 4 Tipo: GBLM  Peso: 13 grs.','WATERDOG','000012','PESP','98',6
'T5GBLM','CUCHARA BLUE FOX','CUCHARA BLUE FOX Número: 5 Tipo: GBLM  Peso: 15 grs.','WATERDOG','000012','PESP','98',6
'TA1000B','TERMO','TERMO  Capacidad: 1000 cc.  Terminación: TIPO BALA','WATERDOG','000012','CAMP','138',1
'TA1000CC','TERMO','TERMO  Capacidad: 1000 cc.  Terminación: CON MANIJA','WATERDOG','000012','CAMP','138',1
'TA1000HB','TERMO','TERMO  Capacidad: 1000 cc.  Terminación: TIPO BALA','WATERDOG','000012','CAMP','138',1
'TA1001A','TERMO','TERMO  Capacidad: 1000 cc.  Terminación: BALA PINTADO','WATERDOG','000012','CAMP','138',1
'TA1001P','TERMO','TERMO  Capacidad: 1000 cc.  Terminación: ANTIDESLIZANTE','WATERDOG','000012','CAMP','138',1
