venta_id,categoria,monto_total
289,INDU,24588
289,PESC,3267
289,PESP,4368
289,PESR,1777
290,INDU,11804
291,CAMP,678
291,CUCH,4140
291,PESC,5950
291,PESP,9286
291,PESR,12248
292,PESR,7240
293,INDP,2188
293,PESP,684
294,CAMP,650
294,OPTI,3624
295,OPTI,1812
296,PESC,7816
296,PESP,1429
296,PESR,10384
300,CAMP,8878
300,OPTI,4122
300,PESP,17698
300,PESR,2682
301,CAMP,1222
301,OPTI,804
302,CAMP,1800
302,INDP,2583
302,PESC,27656
302,PESP,12670
303,CAMP,7248
304,OPTI,11935
305,CAMP,7860
305,PESP,6950
306,OPTI,2541
307,CAMP,3422
307,PESC,6100
307,PESP,1998
307,PESR,4500
308,CAMP,6956
309,CAMP,3628
309,INDP,6352
309,INDU,1072
309,PESC,3692
309,PESR,1359
310,PESC,655
311,PESC,1951
311,PESP,4658
311,PESR,3079
312,PESP,0
313,CAMP,1208
313,INDU,1318
314,OPTI,804
315,INST,444
315,OPTI,817
316,CAMP,1688
316,INDP,1090
316,INST,150
316,OPTI,1323
316,PESP,426
316,PESR,1570
317,PESC,9162
317,PESP,3324
317,PESR,4352
318,CAMP,2528
318,PESP,3294
318,PESR,2734
319,OPTI,5104
320,OPTI,201
321,PESP,14790
322,PESC,24245
322,PESR,30382
324,PESP,68190
325,CAMP,5070
325,OPTI,40756
326,PESC,3950
326,PESP,1656
327,OPTI,6087
328,OPTI,4002
329,CAMP,0
329,PESP,834
330,OPTI,2699
331,CAMP,512
331,INDU,7622
332,PESP,5718
333,OPTI,10318
334,CAMP,4221
334,OPTI,12000
335,INDU,13543
336,CAMP,4276
336,TIRO,6660
337,OPTI,21456
338,CAMP,1691
338,OPTI,1323
338,PESC,1208
338,PESR,1248
338,TIRO,795
339,PESC,7201
339,PESP,3100
339,PESR,900
340,INDP,17784
340,PESP,62496
341,CAMP,5959
341,PESC,8124
341,PESP,1666
341,PESR,5292
342,CAMP,29563
343,PESC,9072
343,PESP,6240
343,PESR,5016
344,CAMP,7515
344,INDP,12792
344,PESC,25182
344,PESP,23024
344,PESR,3528
344,TIRO,10088
345,CAMP,3478
346,CAMP,2997
346,CUCH,380
346,INDU,249
346,TIRO,1315
347,OPTI,6220
348,CUCH,339
348,PESC,10357
349,CAMP,57840
350,CAMP,71650
351,INDP,16130
351,PESC,135000
352,INDU,33436
353,CAMP,1800
353,INDU,6240
353,OPTI,32770
353,PESP,43451
354,CAMP,672
354,INDP,3226
354,OPTI,306
354,PESP,840
355,PESP,4602
356,PESC,3274
356,PESR,1296
357,INDP,5913
357,OPTI,1739
358,CAMP,1633
358,INDU,2998
358,PESP,3714
359,CUCH,277
359,PESC,2760
359,PESP,2045
359,PESR,6174
360,CAMP,4772
360,PESC,5056
360,PESP,2690
360,PESR,1081
361,CAMP,2890
361,PESP,19640
361,PESR,2816
362,CAMP,18766
363,CAMP,37104
364,CUCH,2498
364,INDU,2256
364,PESC,51070
366,OPTI,1747
367,OPTI,12387
368,CAMP,23092
369,PESC,22306
369,PESP,18024
369,PESR,7510
370,CAMP,5385
370,INDP,882
370,PESP,3335
372,INDP,16621
372,PESC,1422
372,PESR,2370
373,PESP,34759
374,OPTI,2010
375,CAMP,4987
375,INDU,6882
375,TIRO,2070
376,CAMP,3849
376,PESC,2172
376,PESR,1296
377,CAMP,1196
377,INST,250
377,OPTI,6180
378,CAMP,1300
378,PESC,7286
378,PESP,8503
379,CAMP,3764
379,CUCH,352
379,INDU,1057
379,INST,306
379,PESC,14818
379,PESR,3731
380,PESC,9815
380,PESR,10832
381,CUCH,2615
381,INDP,4641
381,INDU,2745
381,INST,1528
381,PESP,2024
382,CAMP,615
382,PESC,4415
382,PESP,120
382,PESR,2755
383,CAMP,8480
384,PESC,58135
384,PESR,40615
388,PESC,546
389,CAMP,4224
390,CAMP,3016
390,CUCH,1116
390,OPTI,7866
390,PESC,5398
390,PESP,7873
390,PESR,7117
391,PESC,4889
391,PESP,1440
391,PESR,1755
392,PESC,2550
392,PESR,1934
393,PESC,6908
393,PESP,1296
393,PESR,7730
394,PESP,17569
395,CAMP,1208
395,CUCH,220
395,INDU,10660
395,PESP,210
396,CAMP,260
397,CAMP,0
397,PESP,2614
397,PESR,2058
398,CAMP,6666
398,INDU,10662
398,TIRO,3894
399,CAMP,17330
399,PESC,5208
399,PESR,1800
400,OPTI,7980
401,PESC,37701
401,PESP,7154
401,PESR,18205
403,CAMP,1600
403,PESC,1280
404,PESC,9062
404,PESP,14291
404,PESR,3627
405,PESP,0
406,INDP,6564
406,PESC,14600
406,PESP,7240
406,PESR,17150
407,INDP,3726
408,PESC,11196
408,PESP,4012
408,PESR,1571
409,PESP,5276
410,PESC,19056
410,PESP,11690
410,PESR,15599
411,CAMP,20642
411,PESC,73354
411,PESP,4400
411,PESR,39354
411,TIRO,1792
412,CAMP,13761
412,CUCH,600
412,PESC,18660
412,PESP,3433
412,PESR,9564
413,CAMP,1495
413,PESC,8908
413,PESP,1846
414,CAMP,20898
414,INST,477
414,PESP,71068
415,PESC,31181
415,PESP,0
415,PESR,32912
416,PESC,18239
416,PESR,14685
417,INDU,41210
418,OPTI,14380
418,PESC,49385
418,PESP,47615
419,OPTI,5235
419,PESC,3300
419,PESP,270
419,PESR,2174
420,CAMP,3277
420,OPTI,6741
421,CAMP,8730
422,CAMP,3277
423,OPTI,1602
424,OPTI,7859
425,CAMP,6040
425,INDU,22045
426,PESP,276522
427,CAMP,1149
431,CAMP,2610
432,PESC,978
433,PESP,5220
434,CAMP,1038
435,CAMP,316
435,OPTI,3499
436,PESR,344
437,CAMP,1120
437,OPTI,5663
437,PESC,5931
437,PESP,2465
438,OPTI,702
439,PESC,1460
440,PESC,12452
440,PESR,4895
441,PESP,28875
442,CAMP,17440
442,PESP,278
443,CAMP,774
444,CAMP,8448
444,INDP,17784
444,PESC,101106
444,PESP,3190
445,CAMP,3637
445,INDP,1976
446,CAMP,1950
446,CUCH,2440
446,INDU,1695
446,PESC,59250
446,PESR,4125
447,CAMP,450
447,OPTI,2166
448,INDP,10940
449,INDP,6452
449,PESC,46806
449,PESP,28674
449,PESR,22000
450,PESR,6782
451,CAMP,13342
451,INDU,4576
451,TIRO,3636
452,PESP,6550
453,PESP,7272
454,CAMP,6020
455,PESP,12780
456,OPTI,9942
457,PESR,2076
458,OPTI,8004
459,CAMP,17818
459,PESP,0
460,CAMP,4714
460,INDU,2694
460,OPTI,984
460,PESC,4197
460,PESP,2357
460,PESR,3915
461,OPTI,13704
462,CUCH,944
462,PESC,7037
462,PESP,0
462,PESR,3977
463,PESC,6882
464,PESP,23694
465,PESP,13660
466,PESC,74709
466,PESR,29726
467,PESC,7025
467,PESR,6583
468,PESP,73865
469,TIRO,17100
470,PESC,2876
470,PESR,5406
471,CAMP,18296
471,CUCH,2400
471,INDP,5740
471,PESP,23637
472,PESR,54594
473,CAMP,1590
474,CAMP,21392
474,INDP,2870
474,INST,5560
474,OPTI,5554
474,PESP,3890
474,PESR,11220
475,INDU,792
475,PESP,68035
476,OPTI,804
477,PESC,7569
477,PESR,3792
478,PESC,11386
478,PESP,41706
478,PESR,28423
479,CAMP,14603
479,INDP,1109
479,PESC,6608
479,PESP,16458
479,PESR,1947
479,TIRO,6954
480,PESP,11220
481,PESP,1046
482,CAMP,2416
482,PESP,6172
483,INDP,3696
483,PESP,355
483,PESR,663
484,INDP,1839
484,PESP,2152
485,CAMP,6554
486,CAMP,3320
