venta_id,monto_por_categoria
302,CAMP_poco
302,INDP_medio
302,PESC_muchisimo
302,PESP_muchisimo
303,CAMP_mucho
304,OPTI_muchisimo
305,CAMP_mucho
305,PESP_mucho
306,OPTI_medio
307,CAMP_medio
307,PESC_mucho
307,PESP_poco
307,PESR_medio
308,CAMP_mucho
309,CAMP_medio
309,INDP_mucho
309,INDU_poco
309,PESC_medio
309,PESR_poco
310,PESC_poco
311,PESC_poco
311,PESP_medio
311,PESR_medio
312,PESP_poco
313,CAMP_poco
313,INDU_poco
314,OPTI_poco
315,INST_poco
315,OPTI_poco
316,CAMP_poco
316,INDP_poco
316,INST_poco
316,OPTI_poco
316,PESP_poco
316,PESR_poco
317,PESC_mucho
317,PESP_medio
317,PESR_medio
318,CAMP_medio
318,PESP_medio
318,PESR_medio
319,OPTI_medio
320,OPTI_poco
321,PESP_muchisimo
322,PESC_muchisimo
322,PESR_muchisimo
324,PESP_muchisimo
325,CAMP_medio
325,OPTI_muchisimo
326,PESC_medio
326,PESP_poco
327,OPTI_mucho
328,OPTI_medio
329,CAMP_poco
329,PESP_poco
330,OPTI_medio
331,CAMP_poco
331,INDU_mucho
332,PESP_medio
333,OPTI_muchisimo
334,CAMP_medio
334,OPTI_muchisimo
335,INDU_muchisimo
336,CAMP_medio
336,TIRO_mucho
337,OPTI_muchisimo
338,CAMP_poco
338,OPTI_poco
338,PESC_poco
338,PESR_poco
338,TIRO_poco
339,PESC_mucho
339,PESP_medio
339,PESR_poco
340,INDP_muchisimo
340,PESP_muchisimo
341,CAMP_medio
341,PESC_mucho
341,PESP_poco
341,PESR_medio
342,CAMP_muchisimo
343,PESC_mucho
343,PESP_mucho
343,PESR_medio
344,CAMP_mucho
344,INDP_muchisimo
344,PESC_muchisimo
344,PESP_muchisimo
344,PESR_medio
344,TIRO_muchisimo
345,CAMP_medio
346,CAMP_medio
346,CUCH_poco
346,INDU_poco
346,TIRO_poco
347,OPTI_mucho
348,CUCH_poco
348,PESC_muchisimo
349,CAMP_muchisimo
350,CAMP_muchisimo
351,INDP_muchisimo
351,PESC_muchisimo
352,INDU_muchisimo
353,CAMP_poco
353,INDU_mucho
353,OPTI_muchisimo
353,PESP_muchisimo
354,CAMP_poco
354,INDP_medio
354,OPTI_poco
354,PESP_poco
355,PESP_medio
356,PESC_medio
356,PESR_poco
357,INDP_medio
357,OPTI_poco
358,CAMP_poco
358,INDU_medio
358,PESP_medio
359,CUCH_poco
359,PESC_medio
359,PESP_medio
359,PESR_mucho
360,CAMP_medio
360,PESC_medio
360,PESP_medio
360,PESR_poco
361,CAMP_medio
361,PESP_muchisimo
361,PESR_medio
362,CAMP_muchisimo
363,CAMP_muchisimo
364,CUCH_medio
364,INDU_medio
364,PESC_muchisimo
366,OPTI_poco
367,OPTI_muchisimo
368,CAMP_muchisimo
369,PESC_muchisimo
369,PESP_muchisimo
369,PESR_mucho
370,CAMP_medio
370,INDP_poco
370,PESP_medio
372,INDP_muchisimo
372,PESC_poco
372,PESR_medio
373,PESP_muchisimo
374,OPTI_medio
375,CAMP_medio
375,INDU_mucho
375,TIRO_medio
376,CAMP_medio
376,PESC_medio
376,PESR_poco
377,CAMP_poco
377,INST_poco
377,OPTI_mucho
378,CAMP_poco
378,PESC_mucho
378,PESP_mucho
379,CAMP_medio
379,CUCH_poco
379,INDU_poco
379,INST_poco
379,PESC_muchisimo
