cliente,CAMPNG,PESCA.1,OPTICA.1,PESCA.CA.AS,PESCA.REELS.1,INDU,INDU.Y.PESCA,TIRO.Y.DEF,CUCHILL,INSTRU
70495,"","PESP_poco","","","","","","","",""
70530,"CAMP_mucho","PESP_mucho","OPTI_mucho","PESC_mucho","PESR_mucho","INDU_medio","INDP_medio","TIRO_mucho","CUCH_mucho",""
70545,"CAMP_mucho","PESP_mucho","OPTI_medio","PESC_mucho","PESR_mucho","INDU_poco","INDP_medio","","CUCH_medio",""
70556,"CAMP_mucho","PESP_mucho","OPTI_mucho","PESC_mucho","PESR_mucho","","INDP_mucho","TIRO_medio","CUCH_poco",""
70561,"","PESP_poco","","","","","","","",""
70579,"CAMP_mucho","PESP_medio","OPTI_mucho","PESC_mucho","PESR_medio","INDU_medio","INDP_mucho","TIRO_medio","CUCH_poco",""
70590,"CAMP_mucho","PESP_medio","OPTI_mucho","PESC_mucho","PESR_mucho","INDU_medio","INDP_mucho","TIRO_poco","CUCH_poco",""
70593,"CAMP_medio","PESP_mucho","OPTI_medio","PESC_mucho","PESR_mucho","","INDP_medio","TIRO_medio","CUCH_poco",""
70603,"CAMP_mucho","PESP_medio","OPTI_medio","PESC_mucho","PESR_medio","INDU_poco","INDP_poco","","CUCH_poco",""
70604,"CAMP_poco","PESP_poco","","PESC_mucho","PESR_mucho","","","TIRO_poco","",""
70616,"CAMP_mucho","PESP_medio","","","","","INDP_medio","","",""
70626,"CAMP_medio","PESP_medio","OPTI_medio","PESC_medio","PESR_medio","","INDP_medio","","",""
70676,"CAMP_mucho","PESP_poco","OPTI_mucho","PESC_mucho","PESR_mucho","INDU_medio","INDP_medio","TIRO_poco","","INST_poco"
70698,"CAMP_mucho","PESP_mucho","","PESC_medio","PESR_medio","","","","",""
70755,"","","","PESC_medio","","","","","",""
70780,"CAMP_medio","PESP_mucho","OPTI_poco","PESC_mucho","PESR_medio","INDU_medio","INDP_mucho","","",""
70819,"CAMP_mucho","PESP_mucho","","PESC_medio","PESR_medio","","INDP_mucho","TIRO_poco","","INST_poco"
70821,"CAMP_mucho","PESP_medio","","","PESR_poco","INDU_poco","","","",""
70830,"CAMP_mucho","PESP_medio","","","","INDU_medio","","TIRO_poco","CUCH_poco",""
70833,"CAMP_mucho","PESP_mucho","OPTI_mucho","PESC_mucho","PESR_poco","INDU_medio","","","CUCH_poco",""
70838,"CAMP_medio","PESP_mucho","","PESC_mucho","PESR_mucho","","","TIRO_poco","",""
70839,"CAMP_mucho","PESP_mucho","OPTI_poco","PESC_mucho","PESR_mucho","INDU_medio","INDP_medio","TIRO_poco","",""
70861,"","","OPTI_medio","","","","","","",""
70863,"CAMP_poco","","","","","INDU_medio","","","",""
70870,"CAMP_poco","","","","","","","","",""
70899,"CAMP_mucho","PESP_mucho","OPTI_poco","PESC_mucho","PESR_mucho","INDU_medio","","","CUCH_poco",""
70901,"","PESP_poco","","PESC_medio","PESR_medio","","INDP_poco","","",""
70908,"CAMP_mucho","PESP_medio","OPTI_poco","","","INDU_poco","INDP_poco","TIRO_poco","CUCH_medio","INST_poco"
70920,"CAMP_medio","PESP_poco","","PESC_mucho","PESR_medio","","","","",""
70929,"","","OPTI_medio","","","","","","",""
70941,"CAMP_mucho","PESP_mucho","","PESC_mucho","PESR_medio","INDU_medio","INDP_mucho","TIRO_medio","",""
70965,"CAMP_mucho","PESP_mucho","OPTI_mucho","PESC_mucho","PESR_mucho","INDU_mucho","INDP_mucho","TIRO_medio","CUCH_mucho",""
70968,"CAMP_poco","PESP_poco","","PESC_medio","PESR_medio","","INDP_poco","","",""
70996,"CAMP_medio","PESP_mucho","","","","","","","",""
71006,"CAMP_mucho","PESP_mucho","OPTI_mucho","PESC_mucho","PESR_mucho","INDU_mucho","INDP_mucho","TIRO_medio","CUCH_poco",""
71007,"","","OPTI_mucho","","","","","","",""
71018,"CAMP_medio","PESP_mucho","OPTI_poco","PESC_mucho","PESR_mucho","","INDP_mucho","","",""
71020,"CAMP_mucho","","","","PESR_medio","INDU_mucho","INDP_medio","","",""
71023,"CAMP_mucho","PESP_poco","","PESC_medio","","","","","",""
71025,"CAMP_mucho","","OPTI_poco","","","INDU_medio","INDP_medio","","CUCH_poco",""
71033,"CAMP_mucho","PESP_poco","","PESC_mucho","PESR_mucho","","INDP_medio","","",""
71044,"CAMP_mucho","","","","","","","","",""
71049,"CAMP_mucho","PESP_mucho","OPTI_medio","PESC_medio","PESR_mucho","INDU_poco","INDP_medio","TIRO_poco","CUCH_poco",""
71080,"CAMP_mucho","PESP_mucho","OPTI_poco","PESC_medio","PESR_poco","","INDP_medio","","",""
71099,"CAMP_mucho","PESP_medio","OPTI_medio","PESC_poco","PESR_mucho","INDU_medio","","","",""
71106,"CAMP_medio","PESP_mucho","","","","","INDP_poco","","",""
71118,"CAMP_mucho","PESP_mucho","OPTI_medio","PESC_medio","PESR_mucho","INDU_mucho","INDP_mucho","TIRO_mucho","CUCH_poco",""
71134,"CAMP_mucho","PESP_medio","OPTI_poco","PESC_poco","","","INDP_medio","TIRO_poco","",""
71137,"CAMP_poco","PESP_medio","","PESC_poco","PESR_poco","INDU_poco","","","",""
71146,"CAMP_mucho","","","","","","","","",""
71164,"CAMP_poco","","OPTI_mucho","","","","","","",""
71167,"CAMP_mucho","PESP_mucho","OPTI_mucho","PESC_mucho","PESR_mucho","INDU_poco","","TIRO_medio","",""
71179,"CAMP_poco","","OPTI_medio","","","","","","",""
71186,"","PESP_poco","","PESC_mucho","PESR_mucho","","INDP_medio","","",""
71193,"CAMP_poco","PESP_poco","","","","INDU_poco","","","",""
71194,"CAMP_poco","PESP_mucho","","PESC_medio","","","","","",""
71199,"","PESP_medio","OPTI_medio","PESC_medio","PESR_poco","","","","",""
71201,"","","OPTI_mucho","","","","","","",""
71206,"CAMP_mucho","PESP_mucho","","PESC_mucho","PESR_medio","INDU_mucho","INDP_poco","TIRO_poco","CUCH_medio",""
71210,"","PESP_medio","","PESC_medio","","","","","",""
71213,"CAMP_mucho","","","","","","","","",""
71214,"CAMP_medio","PESP_poco","","","","","","","",""
71222,"CAMP_mucho","","OPTI_mucho","","","","","","",""
71226,"","PESP_poco","","","","","INDP_mucho","","",""
71235,"CAMP_poco","","OPTI_poco","","","","","","",""
71236,"","","OPTI_medio","","","","","","",""
71238,"CAMP_mucho","","OPTI_poco","","","INDU_poco","","TIRO_poco","",""
71241,"","","","PESC_mucho","PESR_medio","","","","",""
71242,"","PESP_poco","","","PESR_poco","","","","",""
71247,"CAMP_medio","PESP_poco","","PESC_poco","PESR_poco","","","","",""
71257,"","","OPTI_mucho","","","","","","",""
71258,"","PESP_medio","OPTI_poco","PESC_mucho","PESR_medio","","INDP_poco","TIRO_medio","",""
71261,"","","","","","","INDP_medio","","",""
71270,"CAMP_poco","PESP_mucho","","","PESR_medio","","INDP_mucho","TIRO_poco","",""
71278,"","","OPTI_medio","","","","","","",""
71279,"CAMP_mucho","PESP_medio","","PESC_mucho","PESR_mucho","INDU_medio","","","",""
71282,"CAMP_mucho","","","","","INDU_medio","INDP_medio","","",""
71286,"CAMP_medio","","","","","","","","",""
71290,"CAMP_mucho","PESP_mucho","OPTI_poco","PESC_mucho","PESR_mucho","INDU_medio","INDP_mucho","TIRO_poco","",""
71291,"CAMP_mucho","","OPTI_mucho","","","","","TIRO_poco","CUCH_poco",""
71292,"CAMP_mucho","","","","","","","","",""
71296,"","","OPTI_mucho","","","","","","",""
71297,"","PESP_medio","","","","","","","",""
71300,"","PESP_medio","","PESC_medio","PESR_medio","","","","",""
71304,"","","","PESC_poco","PESR_poco","","","","",""
71316,"","PESP_medio","","PESC_medio","PESR_poco","INDU_poco","","","",""
71321,"CAMP_mucho","PESP_mucho","OPTI_poco","PESC_mucho","PESR_medio","INDU_poco","INDP_mucho","","CUCH_poco",""
71322,"CAMP_medio","PESP_mucho","","PESC_medio","PESR_poco","INDU_poco","","","",""
71323,"","PESP_mucho","","","","","","","",""
71328,"","PESP_poco","","","","","","","",""
71329,"CAMP_medio","PESP_mucho","","PESC_mucho","PESR_medio","","","","",""
71331,"CAMP_mucho","","OPTI_medio","","","INDU_mucho","INDP_poco","TIRO_mucho","CUCH_poco","INST_medio"
71333,"","","OPTI_medio","","","","","","",""
71351,"CAMP_poco","","OPTI_poco","","","","","TIRO_poco","",""
71355,"","PESP_medio","OPTI_mucho","","","","","","",""
71368,"CAMP_medio","PESP_mucho","","PESC_mucho","PESR_medio","","","","",""
71369,"","PESP_mucho","","PESC_medio","","INDU_poco","INDP_medio","","",""
71372,"CAMP_medio","PESP_medio","OPTI_poco","","PESR_medio","","INDP_poco","TIRO_medio","CUCH_poco",""
71373,"CAMP_mucho","","","","","","","","",""
71374,"CAMP_poco","PESP_poco","OPTI_medio","","","","INDP_poco","TIRO_poco","CUCH_poco",""
71378,"CAMP_mucho","","","","","INDU_medio","INDP_poco","TIRO_poco","",""
71383,"CAMP_medio","PESP_medio","","PESC_medio","PESR_medio","","","TIRO_poco","",""
71389,"CAMP_medio","PESP_medio","OPTI_poco","PESC_medio","PESR_medio","","","TIRO_medio","",""
